The Duet of Light and Shadow ~Shadowland's Prince~,2017,mobage,event,altessimo f-lags,,https://docs.google.com/document/d/e/2PACX-1vS_-NrMTCui3H1m8wOHuI_Cbt3jlSx9owvf-M1U4Z9WAsXlldnhneISRGPgQazxtK4CMBHkC36RS1cX/pub,,
Cybernetics Wars ZERO ~The Mechanical Child Entrusted With Wishes~,2017,mobage,event,mixed jun kei shoma soichiro touma,,https://docs.google.com/document/d/1Yje_OtutouG3keHbqRxAOfB-nkY0cBmkW0oxLA3nfdo/edit#heading=h.bka0nb86oajf,,
That Melt-In-The-Mouth Feeling of Midsummer! ICE MEMORY!,2017,mobage,event,sem w,,https://sidem.miraheze.org/wiki/That_Melt-In-The-Mouth_Feeling_of_Midsummer!_ICE_MEMORY!,sidemichio,
3rd Anniversary Live ~6 Person Banquet~,2017,mobage,event,cafe-parade,,https://sidem.miraheze.org/wiki/3rd_Anniversary_Live_~6_Person_Banquet~,,
Happy Resort Wedding,2017,mobage,event,beit,Beit side.,https://youtu.be/EZsKjE9Tbic,,voiced
Happy Resort Wedding,2017,mobage,event,legenders,Legenders side.,https://www.youtube.com/watch?v=495g4RGkj9c,,voiced
ORIGIN@L PIECES LIVE in Fukuoka,2017,mobage,event,mixed kamiya kazuki natsuki shouta takeru,,https://docs.google.com/document/d/1XleNIQgZ233tDQIkCuKewgYdSX8BHXyBC7FZSNvJv64/edit,,
GHOST SNIPERS!,2017,mobage,event,sem w,,https://sidem.miraheze.org/wiki/GHOST_SNIPERS!,,
Halloween Song Live 2017,2017,mobage,event,high-x-joker,,https://sidem.miraheze.org/wiki/Halloween_Song_Live_2017,,
ORIGIN@L PIECES LIVE in Tokyo,2017,mobage,event,mixed hayato makio pierre rui yusuke,,https://docs.google.com/document/d/1w-fr4QMYjxerAgZlzlq1KWufSn9XEnQUQhUc1l8sgAs/edit,,
Pirate's treasure ~The Immortal Pirate Ship~,2017,mobage,event,legenders shinsoku,"Also available unvoiced <a href=""https://sidem.miraheze.org/wiki/Pirate%27s_treasure_~The_Immortal_Pirate_Ship~"">here</a>.",https://www.youtube.com/watch?v=UsGJV4Iyz8Y,,voiced
Beast Chronicle ~The Flameclad Beast~,2017,mobage,event,frame mofumofuen,,https://docs.google.com/document/d/1zzIu_FOqw8bfbppeOgx7ncSfZBlD-SbGkxCvAp5lvj0/edit,,
Winter Illumination 2017,2017,mobage,event,beit high-x-joker jun shiki,,https://sidem.miraheze.org/wiki/Winter_Illumination_2017,,
Xmas Live 2017 -Side:Prelude-,2017,mobage,event,mixed kuro rei sora suzaku takeru,,https://docs.google.com/document/d/1x17K_W4Fc6OHfvpJn33HuPTrHh_v0cAPl3w6o_vs3Kc/edit,,
Xmas Live 2017 -Side:Happiness-,2017,mobage,event,mixed amehiko chris kamiya rui ryu,,https://allnornothing.wordpress.com/2021/12/25/sidemoba-eventstory_2017_157-sidehappiness/,,
JUMPING into a New Year! New Year's Eve Special Live,2017,mobage,event,f-lags jupiter,,https://docs.google.com/document/d/e/2PACX-1vQmxnf-k9xyZBjoz6oMWcwLhGhcDmfvUSBEZwD19zgH35wX1LlLfF4iuV1MdZCW_0brN20MPy3djHIy/pub,,
Dramatic Stars 315Pro Story,2017,los,main,dramatic-stars,,https://yuu0224.dreamwidth.org/22379.html,yuu0224,
Jupiter 315Pro Story,2017,los,main,jupiter,,https://yuu0224.dreamwidth.org/27691.html,yuu0224,
Cafe Parade 315Pro Story,2017,los,main,cafe-parade,,https://www.youtube.com/watch?v=0O7dINwiMUQ&list=PLjQxTOpL9K-cIVz8BhPTdlpdCZGFM5wmp&index=1&ab_channel=%E3%82%A2%E3%82%A4%E3%83%9E%E3%82%B9SUBS,idolmaster subs,
